stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
1701000,2007,Алтайский край,БАРНАУЛ,NaN,Промышленные предприятия,14.7,4.3,14.28,23.8,NaN,NaN,2007
1705000,2007,Алтайский край,БИЙСК,NaN,Промышленные предприятия,7.4,2.9,5.4,9,NaN,NaN,2007
1706000,2007,Алтайский край,ЗАРИНСК,NaN,Промышленные предприятия,4.8,2.4,1.74,2.9,NaN,NaN,2007
10701000,2007,Амурская область,БЛАГОВЕЩЕНСК,NaN,Промышленные предприятия,3.8,4,7.38,12.3,NaN,NaN,2007
10712000,2007,Амурская область,ЗЕЯ,NaN,Промышленные предприятия,0.3,0.2,0.24,0.4,NaN,NaN,2007
10732000,2007,Амурская область,ТЫНДА,NaN,Промышленные предприятия,1.1,0.6,1.98,3.3,NaN,NaN,2007
11701000,2007,Архангельская область,АРХАНГЕЛЬСК,NaN,Промышленные предприятия,32.9,5.4,4.44,7.4,NaN,NaN,2007
11708000,2007,Архангельская область,КОРЯЖМА,NaN,Промышленные предприятия,1.1,4.6,1.74,2.9,NaN,NaN,2007
11715000,2007,Архангельская область,НОВОДВИНСК,NaN,Промышленные предприятия,11,4.3,8.46,14.1,NaN,NaN,2007
11730000,2007,Архангельская область,СЕВЕРОДВИНСК,NaN,Промышленные предприятия,44.8,6.6,8.88,14.8,NaN,NaN,2007
12630404,2007,Астраханская область,АКСАРАЙСКИЙ,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
12701000,2007,Астраханская область,АСТРАХАНЬ,NaN,Промышленные предприятия,0.4,3.2,0.72,1.2,NaN,NaN,2007
12630408,2007,Астраханская область,БАЙБЕК,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
12630412,2007,Астраханская область,БУЗАН,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
12630406,2007,Астраханская область,ДОСАНГ,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
12630406,2007,Астраханская область,КОМСОМОЛЬСКИЙ,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
12640101,2007,Астраханская область,НАРИМАНОВ,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
12630444,2007,Астраханская область,СЕИТОВКА,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
14701000,2007,Белгородская область,БЕЛГОРОД,NaN,Промышленные предприятия,0.04,3.6,1.98,3.3,NaN,NaN,2007
14730000,2007,Белгородская область,ГУБКИН,NaN,Промышленные предприятия,8.2,1.7,5.16,8.6,NaN,NaN,2007
14740000,2007,Белгородская область,СТАРЫЙ ОСКОЛ,NaN,Промышленные предприятия,2.5,7,9.24,15.4,NaN,NaN,2007
15701000,2007,Брянская область,БРЯНСК,NaN,Промышленные предприятия,0.5,1.6,1.56,2.6,NaN,NaN,2007
17701000,2007,Владимирская область,ВЛАДИМИР,NaN,Промышленные предприятия,0.9,1.6,0.24,0.4,NaN,NaN,2007
18701000,2007,Волгоградская область,ВОЛГОГРАД,NaN,Промышленные предприятия,3.9,10.6,4.86,8.1,NaN,NaN,2007
18710000,2007,Волгоградская область,ВОЛЖСКИЙ,NaN,Промышленные предприятия,5.1,6.8,1.08,1.8,NaN,NaN,2007
19701000,2007,Вологодская область,ВОЛОГДА,NaN,Промышленные предприятия,0.3,1.1,0.6,1,NaN,NaN,2007
19730000,2007,Вологодская область,ЧЕРЕПОВЕЦ,NaN,Промышленные предприятия,28.8,20.9,21.66,36.1,NaN,NaN,2007
20701000,2007,Воронежская область,ВОРОНЕЖ,NaN,Промышленные предприятия,1.7,3.5,0.96,1.6,NaN,NaN,2007
99701000,2007,Еврейская автономная область,БИРОБИДЖАН,NaN,Промышленные предприятия,1.9,0.8,2.76,4.6,NaN,NaN,2007
76621101,2007,Забайкальский край,КРАСНОКАМЕНСК,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
76628101,2007,Забайкальский край,НЕРЧИНСК,NaN,Промышленные предприятия,-1,-1,-0.6,-1,NaN,NaN,2007
